#isbn,subtitle,author,copyright,publisher,genre,score,read,format,own,collection,loan,series,series_vol,comment,price,custom,custom2,custom3,custom4,custom5,custom6,customDate,customSwitch,link,tags,customFloat,customInt,pages,location,lcc,ddc,recordUUID,title
6780183033760,"","",,"","",0.000000,,"",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,0,"","","","248E9FC1-5776-466C-9F1A-2710D5B8269F",""
6781185620026,"","",,"","",0.000000,,"",1,"","","",0.000000,"",0.000000,"","","","","","",08-23-2015,0,"","",0.000000,0,0,"","","","79316DA9-3AAA-44B5-A48E-F6AD31EC59BD",""
9781435294646,"","Walter M. Miller; Walter M. Miller, Jr.",01-01-2007,"Paw Prints","Fiction / Fantasy / General",0.000000,,"book",1,"","","A Bantam Spectra Book",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,338,"New York","PX2500.M555","813/.54","76BA0160-0480-4A78-AEEE-E86E1A5FE378","A Canticle for Leibowitz"
9780246129468,"","Raymond E. Feist",01-01-1986,"Grafton","",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,368,"London","PS3556.E446","813/.54","48AC365B-CF51-47B7-8792-546911BA2725","A Darkness At Sethanon"
9780812515282,"","Vernor Vinge",01-01-1992,"Tom Doherty Associates","Fiction / Science Fiction / Hard Science Fiction",0.000000,,"book",1,"","","Zones of Thought",1.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,613,"","","","F78B7622-5975-49A1-B136-47948A71DE5A","A Fire Upon the Deep"
9780552157841,"","Terry Pratchett",01-01-2008,"Random House Children's Books","Juvenile Fiction / Fantasy & Magic",0.000000,,"book",1,"","","Pratchett, Terry. Discworld Novel",0.000000,"",10.990000,"","","","","","",08-14-2015,0,"","",0.000000,0,350,"London","","","AC29DE77-4A00-4DF2-81CC-7B2D6DCD7691","A Hat Full of Sky"
9780006176541,"","Stephen R. Donaldson",01-01-1989,"Fontana/Collins","",0.000000,,"book",1,"","","Mordant's Need",2.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,661,"","PS3554.O469","813/.54","2CD10FDB-9000-4A4D-A1A8-083E567026B3","A Man Rides Through"
9780333741252,"","Peter F. Hamilton",01-01-1998,"Macmillan","Eden (Imaginary place)",0.000000,,"book",0,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,431,"London","PR6058.A5536","823.914","32EEDB68-8BCE-40ED-9A38-61C4038FE6F9","A Second Chance At Eden"
9780349110110,"","Iain Banks",01-01-1997,"Abacus","Castles",0.000000,,"book",0,"","","",0.000000,"",0.000000,"","","","","","",08-13-2015,0,"","",0.000000,0,280,"London","PR6052.A485","823/.914","3357F152-79E9-498F-A2EC-04799322C7E0","A Song of Stone"
9780349110547,"","Iain Banks",01-01-1998,"Abacus","Fiction / General",0.000000,,"book",1,"","","",0.000000,"",11.990000,"","","","","","",08-13-2015,0,"","",0.000000,0,280,"New York, NY","PR6052.A485","823/.914","39A07AB2-8B68-464C-BBE1-050D748CC894","A Song of Stone"
